url,title,categories,score,filename,last_update
https://www.notion.so/,Notion,"Product, Startup",3,https_www.notion.so.png,10/11/2018
https://airtable.com/,Airtable,"Product, Startup",3,https_airtable.com.png,10/11/2018
https://slack.com/,Slack,"Product, Startup",3,https_slack.com.png,10/11/2018
https://www.wealthfront.com/,Wealthfront,"Product, Startup, Finance",3,https_www.wealthfront.com.png,10/11/2018
https://www.robinhood.com/,Robinhood,"Startup, Product, Finance",3,https_www.robinhood.com.png,10/11/2018
https://plaid.com/,Plaid,"Startup, Product, Finance",3,https_plaid.com.png,10/11/2018
https://filament.com/,Filament,"Startup, Product",3,https_filament.com.png,10/11/2018
https://www.truevault.com/,TrueVault,"Startup, Product",3,https_www.truevault.com.png,10/11/2018
https://www.nianticlabs.com/,Niantic,Videogames,3,https_www.nianticlabs.com.png,10/11/2018
https://ironcladapp.com/,Ironclad,"Startup, Product",3,https_ironcladapp.com.png,10/11/2018
https://leapfin.com/,Leapfin,"Startup, Service, Product, Finance",3,https_leapfin.com.png,10/11/2018
http://www.lily.camera/,Lily Camera,"Startup, Product, E-Commerce, Drone",3,http_www.lily.camera.png,10/11/2018
https://www.circlemedical.com/,Circle Medical,"Startup, Healthcare",3,https_www.circlemedical.com.png,10/11/2018
https://www.stilt.com/,Stilt,"Startup, Finance",3,https_www.stilt.com.png,10/11/2018
https://www.hickorytraining.com/,Hickory Training,"Startup, Product",3,https_www.hickorytraining.com.png,10/11/2018
https://www.lendup.com/,LendUp,"Startup, Finance",3,https_www.lendup.com.png,10/11/2018
https://frontapp.com/,Front,"Startup, Product",3,https_frontapp.com.png,10/11/2018
https://turo.com/,Turo,"Startup, Marketplace, Product",3,https_turo.com.png,10/11/2018
https://toymail.co/,Toymail,"Startup, Product, E-Commerce, Children",3,https_toymail.co.png,10/11/2018
https://www.sprucehealth.com/,Spruce,"Startup, Healthcare",3,https_www.sprucehealth.com.png,10/11/2018
https://pantheon.io/,Pantheon,"Startup, Product",3,https_pantheon.io.png,10/11/2018
https://www.arcadiapower.com/,Arcadia Power,"Startup, Product, Energy",3,https_www.arcadiapower.com.png,10/11/2018
https://www.b12.io/,B12,"Startup, Product",3,https_www.b12.io.png,10/11/2018
https://phil.us/patients,Phil,"Startup, Service, Healthcare",3,https_phil.uspatients.png,10/11/2018
https://www.prosper.com/,Prosper,"Startup, Product, Finance",3,https_www.prosper.com.png,10/11/2018
https://canary.is/,Canary,"Startup, Product, Physical Product, E-Commerce, Security",3,https_canary.is.png,10/11/2018
https://www.getbread.com/,Bread,"Startup, Service, Product, Finance, Retail",3,https_www.getbread.com.png,10/11/2018
https://www.pubnub.com/,PubNub,"Product, Startup",3,https_www.pubnub.com.png,10/11/2018
https://percolate.com/,Percolate,"Startup, Product, Marketing",3,https_percolate.com.png,10/11/2018
http://www.vestwell.com/,Vestwell,"Startup, Product, Service, Finance",3,http_www.vestwell.com.png,10/11/2018
https://www.cloudflare.com/,Cloudflare,"Startup, Product, Service, Cloud",3,https_www.cloudflare.com.png,10/11/2018
https://www.cloudways.com/en/,Cloudways,"Startup, Product, Service, Hosting, Cloud",3,https_www.cloudways.comen.png,10/11/2018
https://www.digitalocean.com/,Digital Ocean,"Startup, Product, Service, Hosting, Cloud",3,https_www.digitalocean.com.png,10/11/2018
https://runcloud.io/,RunCloud,"Startup, Product, Service, Hosting, Cloud",3,https_runcloud.io.png,10/11/2018
https://table2site.com/?ref=producthunt,Table2Site,"Startup, Product",3,https_table2site.com_ref=producthunt.png,10/11/2018
https://www.netlify.com/,Netlify,"Startup, Product, Service, Hosting, Cloud",3,https_www.netlify.com.png,10/11/2018
https://cruip.com/,Cruip,Product,3,https_cruip.com.png,10/12/2018
https://www.simplecontacts.com/,Simple Contacts,"Startup, Healthcare, E-Commerce",3,https_www.simplecontacts.com.png,10/12/2018
https://logdna.com/,LogDNA,"Startup, Product",3,https_logdna.com.png,10/12/2018
https://www.nylas.com/,Nylas,"Startup, Product",3,https_www.nylas.com.png,10/12/2018
